Web links;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Platform;Name;Description;Keywords;URL;;;;;;;;;;;;;;;;;;;;;
Android;Putting APK on diet;Tips to reduce heavy APK and have a better hygiene;tuto , APK;http://cyrilmottier.com/2014/08/26/putting-your-apks-on-diet/;;;;;;;;;;;;;;;;;;;;;
/;Store optimisation;The marketer's guide to app store optimisation by buzinga;tuto;https://drive.google.com/file/d/0B9spdRnukR4EakdPUUxtTUpBME0/view?pli=1;;;;;;;;;;;;;;;;;;;;;
Android;Multidex;About multidexing and performances;tuto , multidex;https://medium.com/groupon-eng/android-s-multidex-slows-down-app-startup-d9f10b46770f#.dlmgdpq5s;;;;;;;;;;;;;;;;;;;;;
Android;UI Tips for pre and post Lollipop;;tuto , lollipop , design , material;https://medium.com/@etiennelawlor/layout-tips-for-pre-and-post-lollipop-bcb2e4cdd6b2#.vb6rojwz0;;;;;;;;;;;;;;;;;;;;;
Android;Implement app invites;;tuto , app invites;http://riggaroo.co.za/app-invites-in-android/;;;;;;;;;;;;;;;;;;;;;
Android;Android login and signup screens;;tuto , material , login screen;http://sourcey.com/beautiful-android-login-and-signup-screens-with-material-design/;;;;;;;;;;;;;;;;;;;;;
Android;Reduce your Android build duration;;build , duration;http://blog.octo.com/en/reduce-android-build-duration/;;;;;;;;;;;;;;;;;;;;;
Android;Data Binding Library: Great UI’s with Less code;;tuto , lib , data binding , vues;https://medium.com/google-developer-experts/data-binding-library-great-ui-s-with-less-code-f2575e0c588e#.xvrqq77qf;;;;;;;;;;;;;;;;;;;;;
Test;Genymotion, Gradle, Flavors;Stable functional tests with Genymotion Gradle Plugin and test-specific Product Flavors;gradle , flavors , genymotion;https://medium.com/@tomaszrykala/stable-functional-tests-with-genymotion-gradle-plugin-and-test-specific-product-flavors-4fe4b93f7c8c#.d3bwmzi2k;;;;;;;;;;;;;;;;;;;;;
Android;Make translations for apps;;traduction , i18n;https://medium.com/glucosio-project/integrate-translations-into-development-process-with-travis-and-ci-magic-bdda43c0112f#.1wzovrx49;;;;;;;;;;;;;;;;;;;;;
Android;Quality and performances;Engineering Android apps for Performance & Quality;;https://speakerdeck.com/pareshmayani/engineering-android-apps-for-performance-and-quality;;;;;;;;;;;;;;;;;;;;;
Design;Introducing Material Deisgn Lite;;material design;https://medium.com/google-developers/introducing-material-design-lite-3ce67098c031#.j3g2wiaz7;;;;;;;;;;;;;;;;;;;;;
JavaScript;ES6 features;http://es6-features.org;ES2015 , ES6 , JS , JavaScript , ECMAScript 6;https://github.com/rse/es6-features;;;;;;;;;;;;;;;;;;;;;
