Devices;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;WARNING: Following symbols ';' are here so as to force Excel to add ';' at the end of each line. Without final ';' the JSON generation will fail. Need to find a solution for this CSV-export issue.
Type;OS;Constructor;Name;Screen size;Screen type;Screen resolution;SoC;GPU;Sensors;Battery;Storage;RAM;Camera;Dimensions;Weight;IP;USB Type;SD Card;SIM;UI;;
smartphone;Cyanogen;OnePlus;One;5.5'';Gorilla Glass 3 , JDI IPS , Touch On Lens;1080 x 1920 px = Full HD;Qualcomm Snapdragon 801;Qualcomm Adreno 330;proximity , light , accelerometer , compass, gyroscope, Bluetooth, NFC, GPS;3100 mAh , Li-Polymer;16 GB , 64 GB;3 GB;Sony Exmor IMX214    CMOS    4.69 x 3.52 mm    1.115 µm    f/2.0    13 MP    (back) , 4.92 MP    (front);152.9 x 75.9 x 8.9 mm;162 g;no;micro-B;no;micro;?;;
smartphone;OxygenOS;OnePlus;2;5.5''; 401 PPI , Incell IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 810;Qualcomm Adreno 430;fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS;3300 mAh , Li-Polymer;16 GB , 64 GB;4 GB;OmniVision OV13860   PureCel    5.55 x 4.8 mm    1.335 µm    f/2.0    13 MP    (back) , 4.92 MP    (front);151.8 x 74.9 x 9.85 mm;175 g;no;C;no;nano , nano;?;;
smartphone;OxygenOS;OnePlus;3;5.5'';Corning Gorilla Glass 4 , 401 PPI , Optic AMOLED;1080 x 1920 px = Full HD;Qualcomm Snapdragon 820;Qualcomm Adreno 530;Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS;3000 mAh , Li-Polymer;64 GB;6 GB;Sony Exmor IMX 298   CMOS    5.22 x 3.92 mm    1.132 µm    f/2.0    16 MP    (back) ,  7.99 MP    (front);152.7 x 74.7 x 7.35 mm;158 g;no;C;no;nano , nano;?;;
smartphone;OxygenOS;OnePlus;3T;5.5'';Corning Gorilla Glass 4 , 401 PPI , Optic AMOLED;1080 x 1920 px = Full HD;Qualcomm Snapdragon 821;Qualcomm Adreno 530;Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS;3400 mAh , Li-Polymer;64 GB;6 GB;Sony Exmor IMX 298   CMOS    5.22 x 3.92 mm    1.132 µm    f/2.0    16 MP    (back) ,  15,87 MP    (front);152.7 x 74.7 x 7.35 mm;158 g;no;C;no;nano , nano;?;;
smartphone;OxygenOS;OnePlus;5;5.5’’;Corning Gorilla Glass 5 , Optic AMOLED , 401 ppp;1080 x 1920 px = Full HD;Qualcomm Snapdragon 835;Qualcomm Adreno 540;Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS;3300 mAh , Li-Polymer;64 GB , 128 GB;6 GB , 8 GB;Sony Exmor IMX398 RS    CMOS    5.22 x 3.92 mm     1.132 µm    f/1.7    16 MP    (bach) , 16 MP    (front);154.2 x 74.1 x 7.25 mm;153 g;no;2.0 , C;no;nano;?;;
smartphone;OxygenOS;OnePlus;5T;6.01’’;Corning Gorilla Glass 5 , Optic AMOLED;1080 x 2160 px = Full HD;Qualcomm Snapdragon 835;Qualcomm Adreno 540;step , Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth 5.0, NFC , GPS , WiFi a b g n ac;3300 mAh , Li-Polymer;64 GB , 128 GB;6 GB , 8 GB;Sony IMX398 Exmor RS    CMOS    5.22x3.92 mm    1.132 µm    f/1.7    15.93 MP    (back) ,     15.93 MP    (front);156.1 x 75 x 7.3 mm;162 g;no;2.0 , C;no;nano;?;;
smartphone;OxygenOS;OnePlus;6;6.28’’;Corning Gorilla Glass 5 , Optic AMOLED;1080 x 2280 px = Full HD;Qualcomm Snapdragon 845;Qualcomm Adreno 630;step , Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth 5.0, NFC , GPS , WiFi a b g n ac;3300 mAh , Li-Polymer;64 GB , 128 GB , 256 GB;6 GB , 8 GB;Sony IMX519 Exmor RS    CMOS    f/1.7    15.93 MP    (back) , 15.83 MP    (front);155.7 x 75.4 x 7.75 mm;177 g;no;2.0 , C;no;nano , nano;?;;
smartphone;Android;Huawei;Nexus 6P;5.7'';Corning Gorilla Glass 4, AMOLED;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 810;Qualcomm Adreno 430;Hall sensor , barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS;3450 mAh , Li-Polymer;32 GB , 64 GB , 128 GB;3 GB;Sony Exmor IMX337R    CMOS BSI    6.25x4.65 mm    1.55 µm    f/2.0    12.3 MP    (back) , 7.99 MP    (front);159.3 x 77.8 x 7.3 mm;178 g;no;C;no;nano;Vanilla-like;;
smartphone;Android;LG;Nexus 5X;5.2'';IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 808;Qualcomm Adreno 418;Hall sensor , barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3700 mAh , Li-Polymer;16 GB , 32 GB;2 GB;Sony Exmor IMX377 R    CMOS BSI    6.25x4.65 mm    1.55 µm    f/2.0    12.9 MP    (back) , 4.92 MP     (front);147 x 72.6 x 7.9 mm;136 g;no;C;no;nano;Vanilla-like;;
smartphone;Android;LG;Pixel 2;5’’;AMOLED;1080 x 1920 px = Full HD;Qualcomm Snpadragon 835;Qualcomm Adreno 540;Hall , Daydream ready , proxmity , light , accelerometer , compass , gyroscope , barometer , fingerprint , Bluetooth 5.0, WiFi , GPS , Glonass;2700 mAh , Li-Ion;64 GB , 128 GB;4 GB;CMOS    f/1.8    12.19 MP    (back) , 8.04 MP    (front);145.7 x 69.7 x 7.8 mm;143 g;IP 67;3.1 , C;no;nano;?;;
