System On Chip (SoC);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Constructor;Target;Name;Gravure;Modem;Peak download speed;Peak upload speed;Bluetooth;NFC;USB;Camera support max.;Video capture max.;Video playback max.;Display max.;CPU;CPU cores number;CPU clock speed max.;CPU architecture;GPU;GPU API support;AI support;
Qualcomm;smartphone;Snapdragon 820;?;Qualcomm Snapdragon X12 LTE;600 Mbps;150 Mbps;4.1;X;2.0 , 3.0;28 MP;4K Ultra HD;4K Ultra HD;2160 x 3840 px , 4K;Qualcomm Kryo;4;2.2 GHz;64 bits;Qualcomm Adreno 530;OpenGL ES , OpenCL , Vulkan;no;
Qualcomm;smartphone;Snapdragon 821;14 nm;Qualcomm Snapdragon X12 LTE;600 Mbps;150 Mbps;4.1;X;2.0 , 3.0;28 MP;4K Ultra HD;4K Ultra HD;2160 x 3840 px , 4K;Qualcomm Kryo;4;2.4 GHz;64 bits;Qualcomm Adreno 530;OpenGL ES , OpenCL , Vulkan;no;
Qualcomm;smartphone / tablet;Snapdragon 835;?;Qualcomm Snapdragon X16 LTE;1 Gbps;150 Mbps;5.0;X;3.1;32 MP;4K Ultra HD;4K Ultra HD;2160 x 3840 px , 4K;Qualcomm Kryo;8;2.45 GHz;64 bits;Qualcomm Adreno 540;OpenGL ES , OpenCL , Vulkan , Tango, Daydream;?;
Qualcomm;smartphone / tablet;Snapdragon 845;10 nm;Qualcomm Snapdragon X20 LTE;1.2 Gbps;150 Mbps;5.0;X;C , 3.1;32 MP;4K Ultra HD;4K Ultra HD;3840 x 2160 px;Qualcomm Kryo 385 , ARM Cortex A55;4 + 4;2.8 GHz – 1.8 GHz;64 bits;Qualcomm Adreno 630;Open Gl ES , Open CL , Vulkan , DirectX;yes (with Hexagon 685 DSP’s  Neural Processing Engine);
Qualcomm;smartphone / tablet;Snapdragon 653;?;Qualcomm Snapdragon X9 LTE;300 Mbps;150 Mbps;4.1 , BLE;X;2.0 , 3.0;21 MP;4K Ultra HD;4K Ultra HD;1600 x 2560 px , Quad HD;ARM Cortex A72 , ARM Cortex 153;4 + 4;1.95 GHz;64 bits;Qualcomm Adreno 510;?;no;
Qualcomm;smartphone / tablet;Snapdragon 660;14 nm;Qualcomm Snapdragon X12 LTE;600 Mbps;150 Mbps;5.0;X;C , 3.1;24 MP;4K Ultra HD;4K Ultra HD;1600 x 2560 px , Quad HD;Qualcomm Kryo;4 + 4;2.2 GHz , 1.8 GHz;64 bits;Qualcomm Adreno 512;?;no;
Qualcomm;smartphone / tablet;Snapdragon 625;?;Qualcomm Snapdragon X9 LTE;300 Mbps;150 Mbps;4.1 , BLE;X;3.0;24 MP;4K Ultra HD;4K Ultra HD;1200 x 1900 , Full HD;ARM Cortex 53;4 + 4;2.0 GHz;64 bits;Qualcomm Adreno 506;Open GL ES;no;
Qualcomm;smartphone / tablet;Snapdragon 630;14 nm;Qualcomm Snapdragon X12 LTE;600 Mbps;150 Mbps;5.0;X;C , 3.1;?;4K Ultra HD;4K Ultra HD;1200 x 1900 , Full HD;ARM Cortex 53;4 + 4;2.2 GHz , 1.8 GHz;64 bits;Qualcomm Adreno 508;?;no;
Qualcomm;smartphone / tablet;Snapdragon 8 gen 3;4 nm;Snapdragon™ X75 5G Modem-RF System;10 Gbps;3.5 Gbps;5.4;x;C, 3.1 Gen 2;200 MP;8K 30fps or 4K 120fps;8K; 4K Ultra HD @ 60 Hz, QHD+ @ 144 Hz;Qualcomm Kryp;1 + 5 +2;Up to 3.4 GHz;64 bits;Qualcomm Adreno;?;Qualcomm AI Engine;
Samsung;smartphone / tablet;Exynos 8 Octa (8890);10 nm;?;600 Mbps;150 Mbps;?;?;?;24 MP;4K Ultra HD;4K Ultra HD;4096 x 2160 px , UHD;Samsung custom core , ARM Cortex 53;8;2.3 GHz;64 bits;ARM Mali T880;?;no;
