Libraries and tools;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Plateform;Name;Description;Keywords;URL;;;;;;;;;;;;;;;;;;;;;
Android;HoloGraphLibrary;To make charts, diagrams, ...;graphs , charts;https://github.com/Androguide/HoloGraphLibrary;;;;;;;;;;;;;;;;;;;;;
DevTool;Dokku;Tool which can build and deploy apps and manage their lyfecycle;build , PaaS , DevOps ,  tool , quality;https://github.com/dokku/dokku;;;;;;;;;;;;;;;;;;;;;
DevTool;IFTTT;IFTTT is the free way to get all your apps and devices talking to each other. Not everything on the internet plays nice, so we're on a mission to build a more connected world.;DevOps , tool , IoT , bots , webhooks , automation , IoT , connected apps , devices;https://ifttt.com/;;;;;;;;;;;;;;;;;;;;;
DevTool;Buffer;A tool to manage easily social medias;DevOps , tool;https://buffer.com/;;;;;;;;;;;;;;;;;;;;;
DevTool;Instabug;In-app feedback and bug tracking for mobile apps;bug , tracking , users , tool , quality , DevOps;https://instabug.com/;;;;;;;;;;;;;;;;;;;;;
DevTool;Zapier;Connect the apps to use, automate tasks;qualityAutomatisation , automation , tool , DevOps;https://zapier.com/;;;;;;;;;;;;;;;;;;;;;
Test;Postman;To test and link APIs;API , tool , quality , DevOps;https://www.getpostman.com/;;;;;;;;;;;;;;;;;;;;;
Android;Picasso;A powerful image downloading and caching library;pictures , image , caching , Square;http://square.github.io/picasso/;;;;;;;;;;;;;;;;;;;;;
Android;Branded launch screen;New splash screens for Android;tuto , splash screen;http://antonioleiva.com/branded-launch-screen/;;;;;;;;;;;;;;;;;;;;;
Android;IntroScreen;To create intro screen on ViewPager and PageTransformer;tuto , intro screen;https://medium.com/android-news/creating-an-intro-screen-for-your-app-using-viewpager-pagetransformer-9950517ea04f#.of5ivc9bz;;;;;;;;;;;;;;;;;;;;;
DevTool;Fabric.io;Bug tracking and dashboard;Crashlytics , Fabric.io , quality , bug tracking;https://get.fabric.io/;;;;;;;;;;;;;;;;;;;;;
Android;material;A library to bring fully animated Material Design components to pre-Lolipop Android;material design;https://github.com/rey5137/material;;;;;;;;;;;;;;;;;;;;;
Android;YahooNewOnboarding;Demos fo landing screens / start screens on Android;landing screen;https://github.com/rahulrj/YahooNewsOnboarding;;;;;;;;;;;;;;;;;;;;;
Android;AppIntro;App intros / landing screens;landing screen;https://github.com/PaoloRotolo/AppIntro;;;;;;;;;;;;;;;;;;;;;
Android;RxJava;Improving UX with RxJava;tuto , UX, RxJava;https://medium.com/@diolor/improving-ux-with-rxjava-4440a13b157f#.3poyei2gw https://github.com/ReactiveX/RxJava;;;;;;;;;;;;;;;;;;;;;
Android;Android Design Support Library;;tuto , suport library , design;http://android-developers.blogspot.fr/2015/05/android-design-support-library.html;;;;;;;;;;;;;;;;;;;;;
Android;Floacting Action Button Toolbar;A floating action button transforming into toolbar;FAB , material : toolbar;https://github.com/fafaldo/FABToolbar;;;;;;;;;;;;;;;;;;;;;
